DEP;REG
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
03;83
